id,date,user,pc,activity
{O5F2-Q2LF20NW-4323QLMR},01/04/2010 09:38:19,AJF0370,PC-8651,Connect
{Z4W4-J9EU39CI-6207WFRH},01/04/2010 09:50:50,BJP0134,PC-0898,Connect
{W5G5-P8NK46RR-1012YCBS},01/04/2010 09:55:30,BJP0134,PC-0898,Disconnect
{U6H8-X9WF51AM-1811TFAE},01/04/2010 09:55:59,AJF0370,PC-8651,Disconnect
{N6Y0-T0QN14OE-8025AQCA},01/04/2010 09:56:24,BJP0134,PC-0898,Connect
{Q2R8-A8EZ92RU-0863PVFK},01/04/2010 10:07:04,AJF0370,PC-8651,Connect
{D3C5-F8FW86KD-7943VLAU},01/04/2010 10:11:24,ANM0123,PC-3845,Connect
{I7M9-X9PG51JU-8722TGCO},01/04/2010 10:15:08,AJF0370,PC-8651,Disconnect
{H7C1-D3SY52GA-8788WNYT},01/04/2010 10:25:44,BJP0134,PC-0898,Disconnect
{Q0U2-G6MH79OT-3395ASZI},01/04/2010 10:27:40,BDI0533,PC-5883,Connect
{J4R5-Q3IC30PQ-5697EBMR},01/04/2010 10:46:22,ABC0174,PC-5156,Connect
{K1B4-O5IQ11LA-1653IECH},01/04/2010 10:49:31,AIB0948,PC-8245,Connect
{Y6H9-G7BL93SJ-0592AQRY},01/04/2010 10:49:39,ABC0174,PC-5156,Disconnect
{K8M4-M7SN75FP-1423SPLQ},01/04/2010 10:51:44,AVM0947,PC-0285,Connect
{D3B3-X5OW14BP-9782OVAY},01/04/2010 10:53:54,BDI0533,PC-5883,Disconnect
{J2K5-K6WP32HH-4771OWKG},01/04/2010 10:55:24,AIB0948,PC-8245,Disconnect
{Q1B6-Z3QY59RS-0704IOJS},01/04/2010 11:03:23,BJP0134,PC-0898,Connect
{M5S4-O0EE28CU-7892UKXI},01/04/2010 11:14:06,AIB0948,PC-8245,Connect
{W2I4-Q4FQ25WU-3276AOFN},01/04/2010 11:23:38,AKR0057,PC-2879,Connect
{V3A2-R9XM82QV-6743YVHP},01/04/2010 11:27:43,BJP0134,PC-0898,Disconnect
{U6S6-Y8YI91RY-4392VBQF},01/04/2010 11:30:55,AKR0057,PC-2879,Disconnect
{B7T3-X4OO93PO-6842KEPI},01/04/2010 11:31:05,BJM0111,PC-6866,Connect
{S9C0-K2IN15MW-4195YRQT},01/04/2010 11:32:28,BJM0111,PC-6866,Disconnect
{W9E2-N4UZ27WP-1224UOQE},01/04/2010 11:32:50,AIB0948,PC-8245,Disconnect
{U4Z5-C7LH21QN-0041BYLN},01/04/2010 11:36:38,AVM0947,PC-0285,Disconnect
{Q9G5-L3XD57AL-4834UPMY},01/04/2010 11:38:41,ANM0123,PC-3845,Disconnect
{W0O3-H7YK03IN-9199GLEV},01/04/2010 11:42:26,BJM0111,PC-6866,Connect
{P9U8-N4RS04DH-5541CIDJ},01/04/2010 11:43:10,BJM0111,PC-6866,Disconnect
{H6N6-B7CZ43CI-8496OOXK},01/04/2010 11:45:47,BJM0111,PC-6866,Connect
{L7Y5-N1SC64LQ-3844XLVF},01/04/2010 11:48:29,AIB0948,PC-8245,Connect
{H0I2-E8TT55YD-8389UGSD},01/04/2010 12:03:51,AIB0948,PC-8245,Disconnect
{I3J1-I6JP07AM-5675NZDF},01/04/2010 12:07:30,BJM0111,PC-6866,Disconnect
{E6Z6-O1BS86IL-2858RWKE},01/04/2010 12:10:21,BJM0111,PC-6866,Connect
{Z7J8-U8EO50BM-8103LSIH},01/04/2010 12:13:29,BJM0111,PC-6866,Disconnect
{D3R2-L5MZ07AC-1411PWMS},01/04/2010 12:22:58,AJN0607,PC-8303,Connect
{U2R5-T4WT82JA-7212SLGC},01/04/2010 12:24:18,BJM0111,PC-6866,Connect
{R3Q9-T3LU96TP-8210LMQO},01/04/2010 12:31:49,BJM0111,PC-6866,Disconnect
{E8F2-J2RK78CU-5259DZXD},01/04/2010 12:33:47,BJM0111,PC-6866,Connect
{G1M5-L1AO87AI-3078KNAO},01/04/2010 12:33:52,BJM0111,PC-6866,Disconnect
{H2I7-E2QD68GY-6531BXQV},01/04/2010 12:36:15,AJN0607,PC-8303,Disconnect
{N4S9-M8PH78QB-1991YZYU},01/04/2010 12:44:53,AHM0410,PC-3686,Connect
{A9Q5-C6UW48EA-2637DVYW},01/04/2010 12:56:35,AHM0410,PC-3686,Disconnect
{B7D5-N6YR12RN-5069XKLP},01/04/2010 13:11:31,ABC0174,PC-5156,Connect
{H8V5-L2YH21TB-9896OSGC},01/04/2010 13:13:53,AJF0370,PC-8651,Connect
{M3S5-T7UF06VV-2049MHWD},01/04/2010 13:14:15,AIB0948,PC-8245,Connect
{D0I3-Q3NN90RN-0712WILX},01/04/2010 13:15:08,AIB0948,PC-8245,Disconnect
{C7T1-S6LF47IY-2497GCOX},01/04/2010 13:16:17,BJP0134,PC-0898,Connect
{W2G6-R9CN52FD-8795IPIM},01/04/2010 13:22:13,AJF0370,PC-8651,Disconnect
{W1X8-Y6GG04WH-5390KNMT},01/04/2010 13:26:28,AJN0607,PC-8303,Connect
{Q8R5-C5YP27OQ-1598RTSD},01/04/2010 13:31:03,AJF0370,PC-8651,Connect
{M8V6-Y1EW59VI-6065QXWY},01/04/2010 13:34:30,BJP0134,PC-0898,Disconnect
{F0J1-D9EP85LT-8163WLOE},01/04/2010 13:34:36,ABC0174,PC-5156,Disconnect
{M5Y2-W4FB19GF-2022SMKP},01/04/2010 13:36:27,AVM0947,PC-0285,Connect
{C6T1-D4LH49ZZ-3360HTSI},01/04/2010 13:41:37,AVM0947,PC-0285,Disconnect
{J4J5-D1RS38RH-4690AUCI},01/04/2010 13:43:26,AIB0948,PC-8245,Connect
{P7V5-T3DC10PE-7701JOKC},01/04/2010 13:47:06,ATP0662,PC-4127,Connect
{U4A8-G1JJ64BV-3117LDTQ},01/04/2010 13:47:17,ATP0662,PC-4127,Disconnect
{Q4Y4-J3WP12PI-1129CNDR},01/04/2010 13:48:20,AJF0370,PC-8651,Disconnect
{K6O3-U2WQ46TF-1252BREO},01/04/2010 13:50:54,AJF0370,PC-8651,Connect
{K6N7-I6SG73XO-3113JGXB},01/04/2010 13:51:58,AIB0948,PC-8245,Disconnect
{F8M4-J0VQ51HU-3470JMYQ},01/04/2010 13:52:00,ATE0869,PC-1313,Connect
{T0B2-I2HM89TL-9839QPYY},01/04/2010 13:54:55,BJM0111,PC-6866,Connect
{V8O1-A0RL59KQ-3663PRUP},01/04/2010 13:55:08,AVM0947,PC-0285,Connect
{E0H2-C2RB41YU-4612AOUH},01/04/2010 14:01:08,AJF0370,PC-8651,Disconnect
{C3E6-G5NE48JR-6089SSII},01/04/2010 14:07:28,BDI0533,PC-5883,Connect
{G5P9-C9QA97OK-7899XNSZ},01/04/2010 14:10:38,BJM0111,PC-6866,Disconnect
{U9K5-A9ED90SK-3512SLFK},01/04/2010 14:14:12,BJM0111,PC-6866,Connect
{N7Y4-K6SX91WV-2508RSAE},01/04/2010 14:15:28,BJM0111,PC-6866,Disconnect
{C5L4-S9KM90PD-6727CLRC},01/04/2010 14:19:59,BJM0111,PC-6866,Connect
{R3U4-P5HG76HM-0201SUCH},01/04/2010 14:22:40,BJM0111,PC-6866,Disconnect
{J4O8-K1VE46QN-2565WXWG},01/04/2010 14:30:29,BDI0533,PC-5883,Disconnect
{J5B7-T9RA27AV-1914ALDE},01/04/2010 14:38:19,AKR0057,PC-2879,Connect
{Z1U9-F2LD37BX-2288PGWV},01/04/2010 14:40:03,AIB0948,PC-8245,Connect
{A5C8-E2YT90IJ-8321HAGE},01/04/2010 14:40:17,AJF0370,PC-8651,Connect
{S6Z0-W3XM25AL-0423PSGJ},01/04/2010 14:44:12,BJP0134,PC-0898,Connect
{S1B0-H5GF52MA-5953XXFV},01/04/2010 14:46:27,AJN0607,PC-8303,Disconnect
{A0C7-E3QL98EP-7267UVPT},01/04/2010 14:47:18,AJF0370,PC-8651,Disconnect
{H3L0-X3VX53YY-5627OIWD},01/04/2010 14:52:25,AIB0948,PC-8245,Disconnect
{L1E6-E6ET43EU-8285RDKM},01/04/2010 14:54:20,AKR0057,PC-2879,Disconnect
{H1U6-R1BI29ZW-9391KEWO},01/04/2010 15:08:51,AJF0370,PC-8651,Connect
{A0E2-K2WR55QC-7133QNKT},01/04/2010 15:12:04,AVM0947,PC-0285,Disconnect
{X4M9-R7QB60FE-8545EYVF},01/04/2010 15:24:18,BJP0134,PC-0898,Disconnect
{O6F3-G9IL79IA-1312EKWQ},01/04/2010 15:25:55,AJF0370,PC-8651,Disconnect
{E9X3-U2NM92IH-1067XWTU},01/04/2010 15:27:45,AJF0370,PC-8651,Connect
{B2V0-E4LQ74TZ-0702OXNA},01/04/2010 15:30:43,ATE0869,PC-1313,Disconnect
{N3Q9-M6XI21WL-3067OUJB},01/04/2010 15:33:27,BJP0134,PC-0898,Connect
{H1S9-N0ZQ34BL-2924KMST},01/04/2010 15:35:45,AIB0948,PC-8245,Connect
{X3R0-A2OM34OP-0767GZGL},01/04/2010 15:40:56,BJP0134,PC-0898,Disconnect
{E4M8-N3QM67TN-3321UHYU},01/04/2010 15:42:35,AIB0948,PC-8245,Disconnect
{U4K1-K2ZX59ZR-3163BKSX},01/04/2010 15:49:59,BJP0134,PC-0898,Connect
{Y1R1-P2PJ42AD-8496AZIL},01/04/2010 15:52:48,AVM0947,PC-0285,Connect
{Q7J5-P4ZQ86FO-6399PQMH},01/04/2010 15:53:01,BJP0134,PC-0898,Disconnect
{D7B8-M7LQ49WI-4581AYBD},01/04/2010 15:54:06,AJN0607,PC-8303,Connect
{N4I0-L6GM75EQ-0969ZFXZ},01/04/2010 16:04:09,AKR0057,PC-2879,Connect
{Z0W7-D7ZG19ZH-3252QZMR},01/04/2010 16:06:40,AVM0947,PC-0285,Disconnect
{C8H7-V9NA71BU-1492ENVZ},01/04/2010 16:11:39,AJF0370,PC-8651,Disconnect
{J0W6-R2VG64CQ-9319YOUQ},01/04/2010 16:12:26,BAJ0654,PC-9268,Connect
{M0J7-A9GQ98SN-9211YLMI},01/04/2010 16:14:20,AJN0607,PC-8303,Disconnect
{H9I7-B3BN29PL-2021TSNT},01/04/2010 16:17:41,AHM0410,PC-3686,Connect
{J8X7-Z9PH87FG-7230DHJD},01/04/2010 16:24:00,AKR0057,PC-2879,Disconnect
{I2R8-K1DN77FZ-2040AIQS},01/04/2010 16:48:25,BAJ0654,PC-9268,Disconnect
{D1C2-L5PJ93XP-3787LZWI},01/04/2010 16:53:28,AHM0410,PC-3686,Disconnect
{A4P8-D6AI30QN-2737GZKT},01/04/2010 17:43:56,BJP0134,PC-0898,Connect
{Y1K9-Q0PW42CK-8628TKRL},01/04/2010 17:55:48,BJP0134,PC-0898,Disconnect
{L9H0-A8KI06WF-2558SNGU},01/04/2010 18:06:42,AJF0370,PC-4600,Connect
{Q8A8-U1OD42MN-3911MAUR},01/04/2010 18:06:49,AJF0370,PC-4600,Disconnect
{G0P7-N6ZN16HX-9344TXEC},01/04/2010 21:29:17,AJF0370,PC-8164,Connect
{J4O8-A1XJ88DS-8282RQPL},01/04/2010 21:30:00,AJF0370,PC-8164,Disconnect
{D4R7-R2IW70QQ-8466FBVX},01/05/2010 07:29:12,AIB0948,PC-8245,Connect
{Z8L8-Y4UN44RU-9624IVVD},01/05/2010 07:40:03,AIB0948,PC-8245,Disconnect
{J2B9-O3MC81HT-5723OYQR},01/05/2010 07:50:47,ABC0174,PC-5156,Connect
{K8Y9-T3MM74PL-2074UBNW},01/05/2010 08:13:11,AHM0410,PC-3686,Connect
{X5F1-N6JO15ON-7216ZTGN},01/05/2010 08:30:50,AIB0948,PC-8245,Connect
{W3C3-A1KL25NK-2919LUEM},01/05/2010 08:40:54,AIB0948,PC-8245,Disconnect
{Z1C5-O7NM25LH-2155RARG},01/05/2010 08:52:02,BAL0044,PC-5179,Connect
{H3K2-A6NL68MK-6906GUQN},01/05/2010 08:54:51,AJF0370,PC-8651,Connect
{C4C9-K3MV11FC-1816FQOI},01/05/2010 08:56:44,AJF0370,PC-8651,Disconnect
{Q0X0-T3XB50OP-6644GBXZ},01/05/2010 08:56:53,AJF0370,PC-8651,Connect
{I6V6-C9IH33AP-6492ZCUH},01/05/2010 08:57:41,AJF0370,PC-8651,Disconnect
{J6Q9-P7AG73LZ-3839FDHC},01/05/2010 09:04:14,BAL0044,PC-5179,Disconnect
{F4C4-R7SW11NG-8819YCQK},01/05/2010 09:04:45,ABC0174,PC-5156,Disconnect
{Z0N8-E1IL63PD-5448MCMA},01/05/2010 09:06:30,AHM0410,PC-3686,Disconnect
{S3B2-X4RD38MA-0538QJZR},01/05/2010 09:10:29,AOK0844,PC-4659,Connect
{H7L9-Q9XA53ZO-2332NWEU},01/05/2010 09:26:56,AOK0844,PC-4659,Disconnect
{D9I3-N2PQ06UZ-3626CXBL},01/05/2010 09:27:25,BJP0134,PC-0898,Connect
{H5Y7-R6LZ30FQ-8977YDZI},01/05/2010 09:28:01,BJP0134,PC-0898,Disconnect
{C9K1-A6VL02QL-1647VEMV},01/05/2010 09:29:24,AIB0948,PC-8245,Connect
{Z3I6-G0WD80MP-2817HEHR},01/05/2010 09:32:04,BJP0134,PC-0898,Connect
{L2J0-H9MX92HO-3809MWQH},01/05/2010 09:36:13,BJP0134,PC-0898,Disconnect
{H1T7-L5TU06TE-1264OFBM},01/05/2010 09:38:53,AJN0607,PC-8303,Connect
{I3S0-K5NE74OK-5021LFBE},01/05/2010 09:42:22,BJP0134,PC-0898,Connect
{T4E9-B9QP22CA-8303WBSB},01/05/2010 09:44:57,AIB0948,PC-8245,Disconnect
{R1S2-E9LM04BS-2236XFVD},01/05/2010 09:54:28,AJN0607,PC-8303,Disconnect
{K0F2-F2JR47BR-3673EKQM},01/05/2010 10:09:59,AVM0947,PC-0285,Connect
{A2Y2-E0KR27IC-2898BFRU},01/05/2010 10:18:15,AJF0370,PC-8651,Connect
{O3F4-X6BB56LE-6720LPNC},01/05/2010 10:20:32,AJF0370,PC-8651,Disconnect
{W2O4-B0WW75JX-1295GENW},01/05/2010 10:23:44,AJF0370,PC-8651,Connect
{L7Q6-A2UR53YX-0012IXMW},01/05/2010 10:29:08,AJF0370,PC-8651,Disconnect
{H7F0-E6YH28KI-7297GMWW},01/05/2010 10:31:11,AIB0948,PC-8245,Connect
{B6D1-V9WA25OG-1246SIJY},01/05/2010 10:31:15,AIB0948,PC-8245,Disconnect
{E4Q8-V9OW21OT-2919BCEJ},01/05/2010 10:34:49,BJP0134,PC-0898,Disconnect
{F4E7-Q5KT71HP-8522NVLX},01/05/2010 10:38:23,BDI0533,PC-5883,Connect
{A1M1-G2XY07WG-6691YFLQ},01/05/2010 10:41:55,BDI0533,PC-5883,Disconnect
{L1E9-J7KA34OB-7962IQBK},01/05/2010 10:46:05,AOK0844,PC-4659,Connect
{P3V7-R1BQ54SY-1296OEGP},01/05/2010 10:54:39,AVM0947,PC-0285,Disconnect
{U4S8-Z7GH91UG-4050HYBP},01/05/2010 11:04:38,AVM0947,PC-0285,Connect
{T4F3-T6CZ77QO-4545VCCC},01/05/2010 11:05:54,AVM0947,PC-0285,Disconnect
{G7C5-L6ZS25QU-0013MICL},01/05/2010 11:08:51,AVM0947,PC-0285,Connect
{R2Y4-A2SU68BC-0876UYKT},01/05/2010 11:09:25,AOK0844,PC-4659,Disconnect
{Z0D8-G2QP80SW-0721KFSX},01/05/2010 11:12:58,AVM0947,PC-0285,Disconnect
{E0N4-F4NH77YM-8811JFVM},01/05/2010 11:24:06,AJF0370,PC-8651,Connect
{B6Q3-F0PX43WX-9771TXTF},01/05/2010 11:29:49,AJF0370,PC-8651,Disconnect
{B0P8-M9ZG42GW-9319UNDF},01/05/2010 11:32:07,AJF0370,PC-7345,Connect
{Z7H6-I3VR56TM-1903WCMJ},01/05/2010 11:35:35,AJF0370,PC-7345,Disconnect
{V8C4-N4JF28GD-0342AVPO},01/05/2010 11:43:02,AJF0370,PC-8651,Connect
{X9U6-C5DZ44YB-2679MEAA},01/05/2010 11:45:35,AAF0535,PC-2408,Connect
{J4S0-T8LY83WN-5373QGOO},01/05/2010 12:00:34,AJF0370,PC-8651,Disconnect
{P3W1-F1BG76GJ-9248ZOCU},01/05/2010 12:05:16,AAF0535,PC-2408,Disconnect
{R6S2-E6OA88XB-3090SKGD},01/05/2010 12:08:48,BEH0615,PC-9461,Connect
{W6Q0-D3BX28CM-2760BXQF},01/05/2010 12:18:19,AVM0947,PC-0285,Connect
{D8F9-Y7KD98XW-5462NUNU},01/05/2010 12:31:54,BEH0615,PC-9461,Disconnect
{U5E5-W8DO70VX-7945JQVP},01/05/2010 12:52:10,AIB0948,PC-8245,Connect
{F1U0-A4ZE02UE-5693XUNU},01/05/2010 13:10:30,AIB0948,PC-8245,Disconnect
{U0Q4-G7QM52LS-8011RDPQ},01/05/2010 13:19:27,BDI0533,PC-5883,Connect
{L0C9-S5IF63XR-8686PQBD},01/05/2010 13:20:48,ABC0174,PC-5156,Connect
{X0O5-C5PQ69ZQ-7009JGFJ},01/05/2010 13:23:24,BJP0134,PC-0898,Connect
{I0Z0-K3ZB39YC-3364YMGH},01/05/2010 13:36:59,AVM0947,PC-0285,Disconnect
{P6X1-E0VJ31DG-8586TQQM},01/05/2010 13:41:19,AIB0948,PC-8245,Connect
{B7I0-E5AI57BO-5411UTXE},01/05/2010 13:50:12,AIB0948,PC-8245,Disconnect
{Q3N1-P1FE56AJ-5305YXLS},01/05/2010 13:50:30,AVM0947,PC-0285,Connect
{I5E4-L2FR10AR-6581JKNS},01/05/2010 13:54:59,BJP0134,PC-0898,Disconnect
{Y7M7-D8DY39ZU-2126POPJ},01/05/2010 13:57:46,AIB0948,PC-8245,Connect
{R1J0-G5RG79CP-4084NEMW},01/05/2010 13:58:43,AIB0948,PC-8245,Disconnect
{O2S4-C6PU94KR-7938YQCW},01/05/2010 14:00:23,BJP0134,PC-0898,Connect
{T6F3-T2VZ19BH-8986NMPD},01/05/2010 14:02:47,ATP0662,PC-4127,Connect
{I7Z5-B1NM12KH-7914QTZT},01/05/2010 14:09:24,BJP0134,PC-0898,Disconnect
{X7M2-J2HL62CT-3686LFWA},01/05/2010 14:18:12,BAL0044,PC-5179,Connect
{D2I0-P3BV39AJ-2686AIBO},01/05/2010 14:19:57,AJD0074,PC-3135,Connect
{R5G1-U1PD73ZW-5306DGKY},01/05/2010 14:22:57,AJF0370,PC-8651,Connect
{T4R0-D3HO07FK-3149FTTK},01/05/2010 14:23:41,BBG0325,PC-6609,Connect
{K2O3-E3CF64XV-7234ULHQ},01/05/2010 14:25:02,AJF0370,PC-8651,Disconnect
{S6T5-E5JN19II-5066QSQW},01/05/2010 14:26:38,BAL0044,PC-5179,Disconnect
{Y2N7-B7PY64EX-7465TMHX},01/05/2010 14:26:52,ATP0662,PC-4127,Disconnect
{P5C5-R5LV40VG-6312ITZA},01/05/2010 14:30:19,BDI0533,PC-5883,Connect
{B2I9-W6GW12NC-6202VCKD},01/05/2010 14:32:32,AVM0947,PC-0285,Disconnect
{R6M5-V0DK48GC-0719EJBY},01/05/2010 14:32:53,BAJ0654,PC-9268,Connect
{C3F8-K9EC96EI-5116WCMT},01/05/2010 14:34:35,AJD0074,PC-3135,Disconnect
{I0R5-Q0KI20GC-9313WASD},01/05/2010 14:34:36,BDI0533,PC-5883,Disconnect
{A4D3-A5AG42KD-3821CHKU},01/05/2010 14:38:24,AVM0947,PC-0285,Connect
{V4Z5-N4AU69TM-8828EYTS},01/05/2010 14:39:04,AIB0948,PC-8245,Connect
{Y4T7-M6NH47VU-2206MDPC},01/05/2010 14:43:00,BBG0325,PC-6609,Disconnect
{N8U1-X8VJ67YB-4452SFYI},01/05/2010 14:43:07,AIB0948,PC-8245,Disconnect
{M9J5-R2UX95SJ-2380DRXL},01/05/2010 14:45:39,AJF0370,PC-8651,Connect
{O5Q6-F2SY09WS-7674VWQL},01/05/2010 14:46:10,AVM0947,PC-0285,Disconnect
{T6W6-J4KJ76IB-1461NXKR},01/05/2010 14:46:59,AJF0370,PC-8651,Disconnect
{U5H3-O4UV02XX-2825EIIQ},01/05/2010 14:47:26,ABC0174,PC-5156,Disconnect
{L4Z3-K5QV63TJ-6947AZJW},01/05/2010 14:53:14,BAJ0654,PC-9268,Disconnect
{I9X6-W6PW93FK-8510IFLP},01/05/2010 15:00:02,AAF0535,PC-2408,Connect
{N3G6-W7HT07SZ-2437PYMD},01/05/2010 15:03:36,AAF0535,PC-2408,Disconnect
{T4S0-F1TE94GJ-8913PQMN},01/05/2010 15:04:23,BJP0134,PC-0898,Connect
{C2Z6-D6VJ77MS-2497JGJX},01/05/2010 15:06:11,BJP0134,PC-0898,Disconnect
{A6G0-Z2WZ85ET-2229YWPO},01/05/2010 15:10:35,AVM0947,PC-0285,Connect
{D3U2-G5LE87OF-5768HHPU},01/05/2010 15:14:40,AJF0370,PC-8651,Connect
{D9A2-I2PR42YO-8325TCAK},01/05/2010 15:20:35,AHM0410,PC-3686,Connect
{Y5F5-F3PY46PS-6615TLHR},01/05/2010 15:23:17,ATP0662,PC-4127,Connect
{R6H2-A2FU40KT-2980QEHJ},01/05/2010 15:26:17,AVM0947,PC-0285,Disconnect
{T5S0-S7RP85KC-8608RLCL},01/05/2010 15:36:26,AIB0948,PC-8245,Connect
{A1Z3-M5GX03UZ-0568BONO},01/05/2010 15:37:31,AJF0370,PC-8651,Disconnect
{R0G8-A3HF19VU-5275FRRK},01/05/2010 15:39:32,AHM0410,PC-3686,Disconnect
{X5L6-G4PP99ID-2852PXTP},01/05/2010 15:41:25,BDI0533,PC-5883,Connect
{S2J4-S8RR81OP-9784USUX},01/05/2010 15:59:53,AIB0948,PC-8245,Disconnect
{N4H2-Y5OU10HR-8945EOPM},01/05/2010 16:01:55,BJM0111,PC-6866,Connect
{F7B3-H2SA12TA-3792BNSU},01/05/2010 16:02:03,BJM0111,PC-6866,Disconnect
{N2R3-W8ID06KK-0062FBKO},01/05/2010 16:04:35,BJM0111,PC-6866,Connect
{G2A8-X9LZ75NH-0813GBUE},01/05/2010 16:08:07,BJM0111,PC-6866,Disconnect
{Q3N8-N7GM78VF-7618XGBI},01/05/2010 16:09:00,BJM0111,PC-6866,Connect
{N6H2-X6VY05YO-1981TXVP},01/05/2010 16:11:19,BJM0111,PC-6866,Disconnect
{T4O5-Q2QA02SH-2156BQVJ},01/05/2010 16:12:07,BDI0533,PC-5883,Disconnect
{T2Y7-Z9JI40BL-5443BFLL},01/05/2010 16:24:36,ATP0662,PC-4127,Disconnect
{U7Z0-I9RV81DR-1212KIFJ},01/05/2010 16:37:35,AOK0844,PC-4659,Connect
{S2W7-M7XP17SR-9151ZFRI},01/05/2010 16:38:30,BJP0134,PC-0898,Connect
{W9C3-S6LH77HK-5498PIKI},01/05/2010 17:02:06,BJP0134,PC-0898,Disconnect
{B1N3-N0GJ50KF-7276USQM},01/05/2010 17:10:23,BJP0134,PC-0898,Connect
{J9F1-L7NU04VW-8101AQME},01/05/2010 17:10:57,BJP0134,PC-0898,Disconnect
{W5V0-V2HP75SY-7742SRLW},01/05/2010 17:19:25,BJM0111,PC-6866,Connect
{P7G7-C0MM98QY-5868WJUA},01/05/2010 17:20:17,BJM0111,PC-6866,Disconnect
{Z8C6-W2ZB27BW-0426HAAI},01/05/2010 17:22:50,AOK0844,PC-4659,Disconnect
{G4S0-G3IN17QT-5915HMBJ},01/05/2010 17:23:52,BJM0111,PC-6866,Connect
{X5V5-U1QW80ME-8157WJJQ},01/05/2010 17:26:58,BJM0111,PC-6866,Disconnect
{T2Q6-I7TK16IO-4874TUGT},01/05/2010 17:29:51,BJM0111,PC-6866,Connect
{F6U7-G2UK79WD-5652HDKF},01/05/2010 17:30:29,BJM0111,PC-6866,Disconnect
{G7I0-N6NZ74RI-6672NHKK},01/05/2010 17:30:41,BJM0111,PC-6866,Connect
{T8W4-Q2ZM40VL-0744PLGB},01/05/2010 17:33:09,BJM0111,PC-6866,Disconnect
{Z8F3-C6MR06VI-4307VAPS},01/05/2010 17:33:27,BJM0111,PC-6866,Connect
{P9K6-E5AV37RL-4604OJIO},01/05/2010 17:35:16,BJM0111,PC-6866,Disconnect
{O5E2-J5CI93YJ-6214INBZ},01/05/2010 17:41:23,BJP0134,PC-0898,Connect
