user_id,total_events,active_days,off_hours_events,off_hours_ratio,avg_events_per_day,logon,file,device,logon_ratio,file_ratio,device_ratio,if_score_default,if_flag_default,if_flag_tuned,if_score_tuned,lstm_recon_mse,lstm_score_norm,combined_score
ADF0397,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AAW0353,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AES0827,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AGB0186,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
ABH0663,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AAV0450,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
BEC0505,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AAN0823,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
BLL0929,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AAL0706,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AIH0675,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AIM0627,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AAF0791,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
BHC0665,926,346,0,0,2.676300578,926,0,0,1,0,0,0.276691439,1,1,0.29572757,3.66E-06,0,0.295833333
ARD0509,724,346,0,0,2.092485549,724,0,0,1,0,0,0.276335733,1,1,0.295371864,3.66E-06,0,0.291666667
ARA0252,963,346,0,0,2.783236994,963,0,0,1,0,0,0.276091227,1,1,0.295127357,3.66E-06,0,0.277083333
ASS0517,961,346,0,0,2.777456647,961,0,0,1,0,0,0.276091227,1,1,0.295127357,3.66E-06,0,0.277083333
ABC0253,963,346,0,0,2.783236994,963,0,0,1,0,0,0.276091227,1,1,0.295127357,3.66E-06,0,0.277083333
ASV0946,956,346,0,0,2.76300578,956,0,0,1,0,0,0.276091227,1,1,0.295127357,3.66E-06,0,0.277083333
ABN0239,959,346,0,0,2.771676301,959,0,0,1,0,0,0.276091227,1,1,0.295127357,3.66E-06,0,0.277083333
BAM0611,957,346,0,0,2.765895954,957,0,0,1,0,0,0.276091227,1,1,0.295127357,3.66E-06,0,0.277083333
ASL0378,966,346,0,0,2.791907514,966,0,0,1,0,0,0.275701592,1,1,0.294737723,3.66E-06,0,0.260416667
ASM0575,967,346,0,0,2.794797688,967,0,0,1,0,0,0.275701592,1,1,0.294737723,3.66E-06,0,0.260416667
ADC0391,968,346,0,0,2.797687861,968,0,0,1,0,0,0.275184053,1,1,0.294220183,3.66E-06,0,0.252083333
ALD0529,968,346,0,0,2.797687861,968,0,0,1,0,0,0.275184053,1,1,0.294220183,3.66E-06,0,0.252083333
ABM0845,1002,346,0,0,2.895953757,1002,0,0,1,0,0,0.27428523,1,1,0.29332136,3.66E-06,0,0.245833333
ANT0430,1022,346,0,0,2.953757225,1022,0,0,1,0,0,0.27142381,1,1,0.29045994,3.66E-06,0,0.241666667
BCR0581,1110,346,0,0,3.208092486,1110,0,0,1,0,0,0.260731972,1,1,0.279768102,3.66E-06,0,0.2375
BLB0114,1109,346,0,0,3.205202312,1109,0,0,1,0,0,0.260545758,1,1,0.279581888,3.66E-06,0,0.233333333
AOS0987,1149,346,0,0,3.320809249,1149,0,0,1,0,0,0.254129248,1,1,0.273165379,3.66E-06,0,0.229166667
BCB0679,938,281,0,0,3.338078292,938,0,0,1,0,0,0.251401904,1,1,0.270438034,3.66E-06,0,0.225
AIP0394,1025,351,49,0.047804878,2.92022792,1025,0,0,1,0,0,0.249241498,1,1,0.268277628,3.66E-06,0,0.220833333
AJL0462,1034,350,56,0.054158607,2.954285714,1034,0,0,1,0,0,0.244621167,1,1,0.263657297,3.66E-06,0,0.216666667
ASB0796,530,265,0,0,2,530,0,0,1,0,0,0.238583288,1,1,0.257619418,3.66E-06,0,0.2125
AHC0142,1197,386,0,0,3.101036269,1197,0,0,1,0,0,0.237925492,1,1,0.256961623,3.66E-06,0,0.208333333
BDB0453,800,349,81,0.10125,2.29226361,800,0,0,1,0,0,0.233326057,1,1,0.252362187,3.66E-06,0,0.204166667
ALB0892,470,235,0,0,2,470,0,0,1,0,0,0.23285448,1,1,0.25189061,3.66E-06,0,0.2
ARB0834,422,211,0,0,2,422,0,0,1,0,0,0.220551408,1,1,0.239587538,3.66E-06,0,0.195833333
BAH0875,930,356,133,0.143010753,2.612359551,930,0,0,1,0,0,0.217186983,1,1,0.236223114,3.66E-06,0,0.191666667
AJR0319,1258,446,0,0,2.820627803,1258,0,0,1,0,0,0.215016728,1,1,0.234052858,3.66E-06,0,0.1875
AMW0392,1254,450,0,0,2.786666667,1254,0,0,1,0,0,0.21381233,1,1,0.23284846,3.66E-06,0,0.183333333
AQD0820,692,346,346,0.5,2,692,0,0,1,0,0,0.190818665,1,1,0.209854795,3.66E-06,0,0.16875
BAM0636,692,346,346,0.5,2,692,0,0,1,0,0,0.190818665,1,1,0.209854795,3.66E-06,0,0.16875
BJH0811,692,346,346,0.5,2,692,0,0,1,0,0,0.190818665,1,1,0.209854795,3.66E-06,0,0.16875
AGB0643,692,346,346,0.5,2,692,0,0,1,0,0,0.190818665,1,1,0.209854795,3.66E-06,0,0.16875
BBH0810,692,346,346,0.5,2,692,0,0,1,0,0,0.190818665,1,1,0.209854795,3.66E-06,0,0.16875
BCM0653,692,346,346,0.5,2,692,0,0,1,0,0,0.190818665,1,1,0.209854795,3.66E-06,0,0.16875
AMR0318,1524,349,34,0.022309711,4.366762178,1013,230,281,0.664698163,0.150918635,0.184383202,0.154317256,1,1,0.173353387,3.66E-06,0,0.154166667
BBG0325,2089,346,0,0,6.037572254,1011,349,729,0.483963619,0.167065582,0.348970799,0.150759727,1,1,0.169795858,3.66E-06,0,0.15
AHD0848,1660,382,0,0,4.345549738,1162,199,299,0.7,0.119879518,0.180120482,0.149073063,1,1,0.168109194,3.66E-06,0,0.145833333
BLS0678,584,201,18,0.030821918,2.905472637,571,5,8,0.977739726,0.008561644,0.01369863,0.146886731,1,1,0.165922861,3.66E-06,0,0.141666667
AJD0074,2011,387,0,0,5.196382429,1202,515,294,0.597712581,0.256091497,0.146195922,0.144539245,1,1,0.163575375,3.66E-06,0,0.1375
BEH0615,2144,353,0,0,6.073654391,1096,268,780,0.51119403,0.125,0.36380597,0.140493198,1,1,0.159529328,3.66E-06,0,0.133333333
AJH0175,1363,353,83,0.060895084,3.861189802,810,236,317,0.594277329,0.173147469,0.232575202,0.138075072,1,1,0.157111202,3.66E-06,0,0.129166667
AHG0634,465,158,162,0.348387097,2.943037975,465,0,0,1,0,0,0.136626307,1,1,0.155662438,3.66E-06,0,0.125
BIS0247,1706,354,74,0.043376319,4.81920904,1056,418,232,0.618991794,0.245017585,0.135990621,0.134519846,1,1,0.153555977,3.66E-06,0,0.120833333
AAS0442,136,50,0,0,2.72,136,0,0,1,0,0,0.127773739,1,1,0.14680987,3.66E-06,0,0.116666667
ACV0812,1279,354,484,0.378420641,3.61299435,1279,0,0,1,0,0,0.121769797,1,1,0.140805927,3.66E-06,0,0.1125
AOK0844,3316,383,33,0.009951749,8.657963446,1186,1321,809,0.357659831,0.398371532,0.243968637,0.120851381,1,1,0.139887512,3.66E-06,0,0.108333333
BBS0422,1800,412,112,0.062222222,4.368932039,996,499,305,0.553333333,0.277222222,0.169444444,0.120296014,1,1,0.139332145,3.66E-06,0,0.104166667
BDV0168,408,165,70,0.171568627,2.472727273,340,36,32,0.833333333,0.088235294,0.078431373,0.115580716,1,1,0.134616847,3.66E-06,0,0.1
ABC0174,2694,296,0,0,9.101351351,829,589,1276,0.307720861,0.218634001,0.473645137,0.114474311,1,1,0.133510441,3.66E-06,0,0.095833333
AJR0932,483,196,81,0.167701863,2.464285714,398,47,38,0.824016563,0.097308489,0.078674948,0.110034545,1,1,0.129070676,3.66E-06,0,0.091666667
AKR0057,2168,231,0,0,9.385281385,662,540,966,0.305350554,0.249077491,0.445571956,0.105210506,1,1,0.124246637,3.66E-06,0,0.0875
ATP0662,3302,386,106,0.032101757,8.554404145,1245,1273,784,0.377044216,0.385523925,0.237431859,0.100099799,1,1,0.11913593,3.66E-06,0,0.083333333
BIH0745,359,144,65,0.181058496,2.493055556,296,41,22,0.824512535,0.114206128,0.061281337,0.099122453,1,1,0.118158583,3.66E-06,0,0.079166667
AHM0410,4163,353,0,0,11.79320113,1183,2198,782,0.28417007,0.527984626,0.187845304,0.097113406,1,1,0.116149537,3.66E-06,0,0.075
ATE0869,2368,486,17,0.007179054,4.872427984,1427,522,419,0.602618243,0.220439189,0.176942568,0.083808687,1,1,0.102844818,3.66E-06,0,0.070833333
AJN0607,4058,346,0,0,11.7283237,1177,820,2061,0.290044357,0.202069985,0.507885658,0.079198906,1,1,0.098235036,3.66E-06,0,0.066666667
AAF0535,1373,164,0,0,8.37195122,328,357,688,0.238892935,0.260014567,0.501092498,0.058125712,1,1,0.077161842,3.66E-06,0,0.0625
BDI0533,5676,451,0,0,12.58536585,1378,2458,1840,0.242776603,0.433051445,0.324171952,0.037273615,1,1,0.056309746,3.66E-06,0,0.058333333
AAM0658,502,225,275,0.547808765,2.231111111,458,31,13,0.912350598,0.061752988,0.025896414,0.027505567,1,1,0.046541697,3.66E-06,0,0.054166667
BKW0374,2716,346,1281,0.471649485,7.849710983,2716,0,0,1,0,0,0.014934358,1,1,0.033970489,3.66E-06,0,0.05
ACC0042,2724,346,1300,0.477239354,7.87283237,2724,0,0,1,0,0,0.014464367,1,1,0.033500498,3.66E-06,0,0.045833333
ANM0123,186,25,0,0,7.44,82,47,57,0.440860215,0.252688172,0.306451613,0.012530217,1,1,0.031566348,3.66E-06,0,0.041666667
BBS0039,1331,157,654,0.49135988,8.477707006,1326,1,4,0.996243426,0.000751315,0.003005259,0.012399662,1,1,0.031435792,3.66E-06,0,0.0375
BJP0134,14978,346,0,0,43.28901734,966,8072,5940,0.064494592,0.538923755,0.396581653,0.002506253,1,1,0.021542384,3.66E-06,0,0.033333333
AIP0982,7911,346,0,0,22.86416185,1000,6182,729,0.12640627,0.78144356,0.092150171,0.000365411,1,1,0.019401541,3.66E-06,0,0.029166667
AVM0947,14435,346,0,0,41.71965318,750,7701,5984,0.051957049,0.533494977,0.414547974,-0.006942807,-1,1,0.012093323,3.66E-06,0,0.025
BAJ0654,3974,346,547,0.13764469,11.48554913,776,2919,279,0.19526925,0.734524409,0.070206341,-0.007858732,-1,1,0.011177398,3.66E-06,0,0.020833333
AIB0948,8839,346,0,0,25.54624277,1207,1669,5963,0.136553909,0.188822265,0.674623826,-0.033852682,-1,-1,-0.014816551,3.66E-06,0,0.016666667
BJM0111,14546,385,161,0.011068335,37.78181818,884,7841,5821,0.060772721,0.539048536,0.400178743,-0.034592942,-1,-1,-0.015556812,3.66E-06,0,0.0125
BAL0044,8304,348,4126,0.496868979,23.86206897,3146,2900,2258,0.378853565,0.349229287,0.271917148,-0.130951325,-1,-1,-0.111915195,3.66E-06,0,0.008333333
